time,yaw_000,induction_000,pitch_000,torque_000,tsr_000,force_x_000,force_y_000,power_000,velocity_x_000,velocity_y_000,ud_000,kernel_000,yaw_001,induction_001,pitch_001,torque_001,tsr_001,force_x_001,force_y_001,power_001,velocity_x_001,velocity_y_001,ud_001,kernel_001,yaw_002,induction_002,pitch_002,torque_002,tsr_002,force_x_002,force_y_002,power_002,velocity_x_002,velocity_y_002,ud_002,kernel_002
1.000000,270.000000,0.330000,0.000000,0.000000,0.000000,2069504.030172,270.000000,11369855.141766,8.550854,0.000000,8.550854,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,2077057.096032,270.000000,11411351.685599,8.582062,0.000000,8.582062,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,2068709.528108,270.000000,11365490.147424,8.547571,0.000000,8.547571,1.042387
2.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1769786.676199,270.000000,9038727.206992,7.893591,0.000005,7.893591,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1750090.318440,270.000000,8880021.819023,7.861474,-0.000002,7.861474,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1770174.587987,270.000000,9047067.384769,7.891827,-0.000002,7.891827,1.042387
3.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1602979.506731,270.000000,7842220.633856,7.496176,0.000005,7.496176,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1597074.616690,270.000000,7785659.680246,7.495624,-0.000020,7.495624,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1614645.922969,270.000000,7932483.623980,7.520777,-0.000005,7.520777,1.042387
4.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1489001.618904,270.000000,7062080.569712,7.210920,0.000002,7.210920,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1482840.223388,270.000000,7008132.816410,7.208033,-0.000020,7.208033,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1502545.703123,270.000000,7166327.671228,7.239581,-0.000007,7.239581,1.042387
5.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1405151.504752,270.000000,6504461.683957,6.994496,0.000002,6.994496,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1400841.316602,270.000000,6466864.925149,6.994693,-0.000019,6.994693,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1419679.030345,270.000000,6619613.751751,7.023669,-0.000007,7.023669,1.042387
6.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1342348.717445,270.000000,6094618.508376,6.828986,0.000004,6.828986,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1338876.814805,270.000000,6066747.895708,6.829515,-0.000018,6.829515,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1356809.634709,270.000000,6213998.852649,6.855684,-0.000006,6.855684,1.042387
7.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1294486.518460,270.000000,5786131.570287,6.701025,0.000007,6.701025,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1291328.608788,270.000000,5764246.295784,6.700579,-0.000017,6.700579,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1308181.326467,270.000000,5905346.715539,6.723235,-0.000005,6.723235,1.042387
8.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1257628.825427,270.000000,5550318.404192,6.601562,0.000010,6.601562,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1254332.642591,270.000000,5530974.127244,6.599120,-0.000017,6.599120,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1270138.595544,270.000000,5666191.165479,6.618314,-0.000004,6.618314,1.042387
9.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1229145.429868,270.000000,5368677.656800,6.524296,0.000014,6.524296,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1225362.160986,270.000000,5349196.203353,6.519091,-0.000017,6.519091,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1240170.464650,270.000000,5478694.515332,6.535026,-0.000003,6.535026,1.042387
10.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1207097.839002,270.000000,5228063.348064,6.464383,0.000018,6.464383,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1202550.156506,270.000000,5206231.698487,6.455857,-0.000017,6.455857,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1216444.951472,270.000000,5330309.923378,6.468886,-0.000001,6.468886,1.042387
11.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1189953.059704,270.000000,5118418.573948,6.417840,0.000022,6.417840,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1184468.136154,270.000000,5092730.325052,6.405711,-0.000018,6.405711,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1197564.519410,270.000000,5211833.957175,6.416304,-0.000000,6.416304,1.042387
12.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1176472.476578,270.000000,5031821.760821,6.381355,0.000025,6.381355,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1169971.182052,270.000000,5001398.112822,6.365587,-0.000018,6.365587,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1182412.937687,270.000000,5116158.683576,6.374296,0.000001,6.374296,1.042387
13.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1165658.769835,270.000000,4962010.519579,6.352204,0.000027,6.352204,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1158138.195077,270.000000,4926499.672963,6.332951,-0.000019,6.332951,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1170079.402717,270.000000,5037647.911038,6.340339,0.000002,6.340339,1.042387
14.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1156721.786483,270.000000,4904086.143544,6.328196,0.000030,6.328196,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1148235.241152,270.000000,4863532.830942,6.305745,-0.000020,6.305745,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1159824.707397,270.000000,4971817.827589,6.312336,0.000003,6.312336,1.042387
15.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1149050.979211,270.000000,4854294.849009,6.307619,0.000031,6.307619,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1139688.485234,270.000000,4809014.461234,6.282340,-0.000021,6.282340,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1151060.574282,270.000000,4915147.800147,6.288586,0.000003,6.288586,1.042387
16.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1142190.661546,270.000000,4809847.906470,6.289186,0.000032,6.289186,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1132063.410507,270.000000,4760324.227888,6.261487,-0.000022,6.261487,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1143332.122448,270.000000,4864940.420079,6.267758,0.000004,6.267758,1.042387
17.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1135817.282972,270.000000,4768766.734815,6.271980,0.000032,6.271980,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1125044.723913,270.000000,4715567.985717,6.242277,-0.000022,6.242277,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1136299.379270,270.000000,4819192.878149,6.248849,0.000004,6.248849,1.042387
18.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1129718.043129,270.000000,4729743.662497,6.255400,0.000032,6.255400,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1118416.208329,270.000000,4673448.314219,6.224080,-0.000022,6.224080,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1129719.605206,270.000000,4776481.722615,6.231134,0.000004,6.231134,1.042387
19.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1123770.074222,270.000000,4692010.945082,6.239099,0.000031,6.239099,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1112041.288878,270.000000,4633143.418466,6.206500,-0.000022,6.206500,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1123431.020553,270.000000,4735859.788333,6.214129,0.000004,6.214129,1.042387
20.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1117919.982410,270.000000,4655215.337439,6.222936,0.000030,6.222936,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1105845.026399,270.000000,4594196.793055,6.189318,-0.000022,6.189318,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1117337.172062,270.000000,4696759.371388,6.197543,0.000004,6.197543,1.042387
21.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1112164.665877,270.000000,4619302.371354,6.206912,0.000029,6.206912,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1099797.523153,270.000000,4556416.793048,6.172450,-0.000021,6.172450,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1111391.325472,270.000000,4658898.288595,6.181236,0.000003,6.181236,1.042387
22.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1106534.144481,270.000000,4584413.748146,6.191130,0.000028,6.191130,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1093899.288235,270.000000,4519789.134285,6.155902,-0.000021,6.155902,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1105581.821081,270.000000,4622193.386801,6.165178,0.000003,6.165178,1.042387
23.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1101076.490062,270.000000,4550798.078637,6.175741,0.000026,6.175741,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1088168.605923,270.000000,4484401.881945,6.139733,-0.000020,6.139733,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1099919.341099,270.000000,4586686.017965,6.149404,0.000002,6.149404,1.042387
24.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1095845.448330,270.000000,4518738.174342,6.160919,0.000025,6.160919,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1082631.647038,270.000000,4450386.902577,6.124030,-0.000019,6.124030,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1094426.133307,270.000000,4552479.652434,6.133992,0.000002,6.133992,1.042387
25.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1090891.244587,270.000000,4488497.476716,6.146823,0.000023,6.146823,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1077314.714865,270.000000,4417874.714287,6.108879,-0.000018,6.108879,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1089127.598230,270.000000,4519691.989436,6.119029,0.000002,6.119029,1.042387
26.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1086254.456392,270.000000,4460284.718967,6.133587,0.000022,6.133587,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1072239.070534,270.000000,4386964.937108,6.094354,-0.000017,6.094354,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1084046.684385,270.000000,4488423.788410,6.104598,0.000001,6.104598,1.042387
27.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1081962.603355,270.000000,4434234.535653,6.121303,0.000021,6.121303,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1067418.114260,270.000000,4357710.736255,6.080506,-0.000017,6.080506,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1079200.341981,270.000000,4458739.881896,6.090764,0.000001,6.090764,1.042387
28.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1078028.938260,270.000000,4410400.810042,6.110021,0.000020,6.110021,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1062856.345463,270.000000,4330113.687061,6.067360,-0.000016,6.067360,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1074597.514273,270.000000,4430659.092848,6.077569,0.000001,6.077569,1.042387
29.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1074452.877725,270.000000,4388759.382128,6.099750,0.000019,6.099750,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1058549.619815,270.000000,4304126.078298,6.054914,-0.000015,6.054914,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1070238.602110,270.000000,4404152.387151,6.065030,0.000001,6.065030,1.042387
30.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1071221.542491,270.000000,4369217.035349,6.090460,0.000018,6.090460,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1054486.252550,270.000000,4279657.973997,6.043145,-0.000015,6.043145,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1066116.000204,270.000000,4379146.956496,6.053138,0.000001,6.053138,1.042387
31.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1068311.980426,270.000000,4351624.336544,6.082091,0.000018,6.082091,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1050648.574882,270.000000,4256586.770929,6.032008,-0.000015,6.032008,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1062215.365439,270.000000,4355534.261908,6.041862,0.000001,6.041862,1.042387
32.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1065693.758201,270.000000,4335790.570462,6.074559,0.000018,6.074559,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1047014.659071,270.000000,4234767.633942,6.021448,-0.000014,6.021448,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1058517.321844,270.000000,4333180.336397,6.031154,0.000001,6.031154,1.042387
33.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1063331.657277,270.000000,4321499.302177,6.067765,0.000018,6.067765,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1043560.056630,270.000000,4214043.899778,6.011398,-0.000014,6.011398,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1054999.332607,270.000000,4311936.799326,6.020957,0.000001,6.020957,1.042387
34.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1061188.298990,270.000000,4308523.559808,6.061602,0.000018,6.061602,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1040259.495472,270.000000,4194257.094321,6.001789,-0.000014,6.001789,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1051637.547745,270.000000,4291651.475156,6.011204,0.000001,6.011204,1.042387
35.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1059226.526660,270.000000,4296639.592956,6.055965,0.000018,6.055965,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1037088.464383,270.000000,4175256.108936,5.992552,-0.000014,5.992552,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1048408.510326,270.000000,4272177.973871,6.001832,0.000001,6.001832,1.042387
36.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1057411.400263,270.000000,4285638.322230,6.050751,0.000019,6.050751,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1034024.515506,270.000000,4156904.576203,5.983623,-0.000015,5.983623,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1045290.330424,270.000000,4253382.028200,5.992777,0.000002,5.992777,1.042387
37.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1055711.711119,270.000000,4275333.922257,6.045871,0.000019,6.045871,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1031048.203302,270.000000,4139086.001692,5.974946,-0.000015,5.974946,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1042263.625347,270.000000,4235146.410582,5.983985,0.000002,5.983985,1.042387
38.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1054100.979951,270.000000,4265569.353186,6.041246,0.000019,6.041246,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1028143.596275,270.000000,4121706.303451,5.966473,-0.000015,5.966473,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1039312.086555,270.000000,4217373.621133,5.975407,0.000002,5.975407,1.042387
39.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1052557.985945,270.000000,4256219.154856,6.036814,0.000020,6.036814,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1025298.375327,270.000000,4104693.882365,5.958168,-0.000015,5.958168,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1036422.708319,270.000000,4199986.601809,5.967006,0.000002,5.967006,1.042387
40.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1051066.827405,270.000000,4247189.529548,6.032529,0.000020,6.032529,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1022503.576793,270.000000,4087997.612501,5.950004,-0.000016,5.950004,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1033585.699638,270.000000,4182927.663529,5.958751,0.000002,5.958751,1.042387
41.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1049616.585094,270.000000,4238416.139317,6.028358,0.000020,6.028358,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1019753.071604,270.000000,4071583.322656,5.941962,-0.000016,5.941962,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1030794.108884,270.000000,4166155.847439,5.950622,0.000002,5.950622,1.042387
42.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1048200.798774,270.000000,4229860.877750,6.024282,0.000020,6.024282,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1017042.889463,270.000000,4055429.438668,5.934028,-0.000016,5.934028,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1028043.220524,270.000000,4149643.067485,5.942605,0.000002,5.942605,1.042387
43.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1046816.847051,270.000000,4221508.141090,6.020293,0.000020,6.020293,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1014370.462077,270.000000,4039522.243832,5.926195,-0.000016,5.926195,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1025329.811676,270.000000,4133369.550962,5.934691,0.000002,5.934691,1.042387
