time,yaw_000,induction_000,pitch_000,torque_000,tsr_000,force_x_000,force_y_000,power_000,velocity_x_000,velocity_y_000,ud_000,kernel_000,yaw_001,induction_001,pitch_001,torque_001,tsr_001,force_x_001,force_y_001,power_001,velocity_x_001,velocity_y_001,ud_001,kernel_001,yaw_002,induction_002,pitch_002,torque_002,tsr_002,force_x_002,force_y_002,power_002,velocity_x_002,velocity_y_002,ud_002,kernel_002
1.000000,270.050000,0.330000,0.000000,0.000000,0.000000,2069502.763846,270.050000,11369843.855255,8.550855,0.000000,8.550852,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,2077057.096032,270.000000,11411351.685599,8.582062,0.000000,8.582062,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,2068709.528108,270.000000,11365490.147424,8.547571,0.000000,8.547571,1.042387
2.000000,270.100000,0.330000,0.000000,0.000000,0.000000,1769783.385557,270.100000,9038699.518116,7.893598,0.000299,7.893586,1.042788,270.000000,0.330000,0.000000,0.000000,0.000000,1750090.318975,270.000000,8880021.823077,7.861474,-0.000002,7.861474,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1770174.587998,270.000000,9047067.384850,7.891827,-0.000002,7.891827,1.042387
3.000000,270.150000,0.330000,0.000000,0.000000,0.000000,1602974.222320,270.150000,7842177.778363,7.496196,0.000616,7.496168,1.042788,270.000000,0.330000,0.000000,0.000000,0.000000,1597074.618616,270.000000,7785659.694239,7.495624,-0.000020,7.495624,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1614645.923007,270.000000,7932483.624258,7.520777,-0.000005,7.520777,1.042387
4.000000,270.200000,0.330000,0.000000,0.000000,0.000000,1488994.100777,270.200000,7062021.208012,7.210957,0.001027,7.210910,1.042790,270.000000,0.330000,0.000000,0.000000,0.000000,1482840.227666,270.000000,7008132.846467,7.208033,-0.000021,7.208033,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1502545.703208,270.000000,7166327.671829,7.239581,-0.000007,7.239581,1.042387
5.000000,270.250000,0.330000,0.000000,0.000000,0.000000,1405141.512254,270.250000,6504384.468344,6.994556,0.001530,6.994483,1.042791,270.000000,0.330000,0.000000,0.000000,0.000000,1400841.324439,270.000000,6466864.978836,6.994693,-0.000019,6.994693,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1419679.030500,270.000000,6619613.752826,7.023669,-0.000007,7.023669,1.042387
6.000000,270.300000,0.330000,0.000000,0.000000,0.000000,1342335.976969,270.300000,6094521.986210,6.829075,0.002128,6.828970,1.042793,270.000000,0.330000,0.000000,0.000000,0.000000,1338876.827631,270.000000,6066747.981852,6.829515,-0.000018,6.829515,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1356809.634963,270.000000,6213998.854376,6.855684,-0.000006,6.855684,1.042387
7.000000,270.350000,0.330000,0.000000,0.000000,0.000000,1294470.612451,270.350000,5786013.415191,6.701147,0.002841,6.701005,1.042795,270.000000,0.330000,0.000000,0.000000,0.000000,1291328.628302,270.000000,5764246.424800,6.700579,-0.000018,6.700579,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1308181.326855,270.000000,5905346.718131,6.723235,-0.000005,6.723235,1.042387
8.000000,270.400000,0.330000,0.000000,0.000000,0.000000,1257609.206749,270.400000,5550175.386508,6.601723,0.003681,6.601537,1.042797,270.000000,0.330000,0.000000,0.000000,0.000000,1254332.670770,270.000000,5530974.311240,6.599120,-0.000018,6.599120,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1270138.596106,270.000000,5666191.169189,6.618314,-0.000004,6.618314,1.042387
9.000000,270.450000,0.330000,0.000000,0.000000,0.000000,1229121.391538,270.450000,5368505.343059,6.524503,0.004650,6.524265,1.042800,270.000000,0.330000,0.000000,0.000000,0.000000,1225362.200099,270.000000,5349196.456231,6.519091,-0.000018,6.519091,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1240170.465435,270.000000,5478694.520461,6.535026,-0.000003,6.535026,1.042387
10.000000,270.500000,0.330000,0.000000,0.000000,0.000000,1207068.515956,270.500000,5227856.124287,6.464640,0.005738,6.464344,1.042803,270.000000,0.330000,0.000000,0.000000,0.000000,1202550.209053,270.000000,5206232.035611,6.455857,-0.000019,6.455857,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1216444.952537,270.000000,5330309.930281,6.468886,-0.000001,6.468886,1.042387
